timestamp,pronouns,are_you_bilingual,language_amount,gpa
10/31/2023 10:23:49,They/Them,No,,2.8
10/31/2023 10:24:03,They/Them,Yes,2,2
10/31/2023 10:24:18,He/Him,No,0,3.4
10/31/2023 10:26:41,He/Him,No,,4.2
10/31/2023 10:27:18,She/Her,Yes,2,3.5
10/31/2023 10:27:28,She/Her,Yes,2,3.2
10/31/2023 10:29:42,She/Her,No,,3.5
10/31/2023 10:30:07,She/Her,Yes,2,3.4
10/31/2023 10:30:48,She/Her,Yes,2,3
10/31/2023 10:30:59,She/Her,Yes,2,4
10/31/2023 10:32:15,They/Them,Yes,2,3.5
10/31/2023 10:32:25,She/Her,No,,2.8
10/31/2023 10:32:39,She/Her,No,,2.8
10/31/2023 10:32:50,He/Him,No,,3.4
10/31/2023 10:33:25,She/Her,Yes,3,2.3
10/31/2023 10:33:26,He/Him,No,,3.5
10/31/2023 10:33:30,She/Her,Yes,3,2.87
10/31/2023 10:33:55,She/Her,Yes,4,3.6
10/31/2023 10:34:33,She/Her,No,,3.4
10/31/2023 10:34:56,He/Him,No,,2.15
10/31/2023 10:35:00,Other,Yes,2,2.6
10/31/2023 10:35:03,She/Her,No,,3.9
10/31/2023 10:35:07,She/Her,Yes,3,2.5
10/31/2023 10:35:08,She/Her,Yes,3,2.9
10/31/2023 10:35:09,She/Her,Yes,2,4
10/31/2023 10:35:09,She/Her,Yes,2,3.4
10/31/2023 10:35:20,She/Her,Yes,3,3.56
10/31/2023 10:35:25,She/Her,No,1.5,4
10/31/2023 10:35:26,She/Her,Yes,3,2.5
10/31/2023 10:35:30,She/Her,Yes,2,3.8
10/31/2023 10:35:36,She/Her,Yes,2,3.5
10/31/2023 10:35:45,He/Him,Yes,2,1.2
10/31/2023 10:35:45,She/Her,Yes,3,2.9
10/31/2023 10:35:52,She/Her,Yes,1,4
10/31/2023 10:36:02,She/Her,No,,2.9
10/31/2023 10:36:05,She/Her,Yes,2,3.8
10/31/2023 10:36:09,She/Her,Yes,2,3.12
10/31/2023 10:36:13,She/Her,No,,3.7
10/31/2023 10:36:20,She/Her,Yes,3,2.8
10/31/2023 10:36:26,He/Him,No,,2
10/31/2023 10:36:33,He/Him,Yes,2,3.1
10/31/2023 10:36:56,She/Her,Yes,4,3.6
10/31/2023 10:36:59,She/Her,Yes,5,3.8
10/31/2023 10:37:35,He/Him,No,1,3.2
10/31/2023 10:38:31,She/Her,Yes,2,2.9
10/31/2023 10:39:03,He/Him,No,,3.2
10/31/2023 10:39:20,He/Him,No,,2.4
10/31/2023 10:39:22,He/Him,Yes,2,3.7
10/31/2023 10:39:44,She/Her,Yes,2,3.5
10/31/2023 10:40:36,She/Her,Yes,2,3.8
10/31/2023 10:40:49,She/Her,No,,3.9
10/31/2023 10:40:59,He/Him,No,,3.6
10/31/2023 10:41:09,She/Her,Yes,2,3.8
10/31/2023 10:41:31,He/Him,Yes,2,3.6
10/31/2023 10:42:02,He/Him,No,0,2.8
10/31/2023 10:42:37,She/Her,Yes,1,4
10/31/2023 10:42:40,She/Her,Yes,3,3.7
10/31/2023 10:42:53,She/Her,Yes,3,3.4
10/31/2023 10:43:15,She/Her,Yes,2,3.6
10/31/2023 10:43:25,He/Him,Yes,5,3.4
10/31/2023 10:43:32,She/Her,Yes,2,3.1
10/31/2023 10:43:43,She/Her,Yes,2,2
10/31/2023 10:43:58,She/Her,Yes,3,4
10/31/2023 10:44:00,She/Her,Yes,2,3.5
10/31/2023 10:44:20,They/Them,Yes,2,3.6
10/31/2023 10:44:36,He/Him,Yes,3,2.62
10/31/2023 10:45:26,He/Him,Yes,2,3.8
10/31/2023 10:45:56,He/Him,Yes,4,3.6
10/31/2023 10:46:35,He/Him,No,1,3.4
10/31/2023 10:46:44,She/Her,Yes,2,4
10/31/2023 10:47:17,She/Her,Yes,2,3.1
10/31/2023 10:50:48,He/Him,Yes,2,3.8
10/31/2023 10:51:32,He/Him,Yes,2,3.38
10/31/2023 10:51:35,She/Her,Yes,2,3.8
10/31/2023 10:52:25,He/Him,No,,4
10/31/2023 10:52:45,He/Him,No,,3.5
10/31/2023 10:53:18,She/Her,Yes,2,3.2
10/31/2023 10:53:28,He/Him,No,,3.5
10/31/2023 11:06:38,She/Her,No,,2.8
10/31/2023 11:06:42,She/Her,Yes,2,0
10/31/2023 11:06:45,He/Him,Yes,2,1.97
10/31/2023 11:07:46,She/Her,Yes,2,2.5
10/31/2023 11:07:55,He/Him,No,,4
10/31/2023 11:08:13,They/Them,Yes,,3.8
10/31/2023 11:08:20,She/Her,Yes,3,4
10/31/2023 11:08:27,He/Him,No,,3.25
10/31/2023 11:08:28,She/Her,No,,2
10/31/2023 11:08:38,He/Him,No,,3.5
10/31/2023 11:09:12,He/Him,No,,4
10/31/2023 11:09:43,She/Her,Yes,2,3
10/31/2023 11:10:06,They/Them,Yes,2,4
10/31/2023 11:10:16,He/Him,Yes,3,3.2
10/31/2023 11:10:33,Other,Yes,2,9
10/31/2023 11:10:40,She/Her,No,,3.5
10/31/2023 11:11:04,She/Her,No,0,4.06
10/31/2023 11:11:18,He/Him,Yes,2,3.95
10/31/2023 11:11:20,He/Him,No,,4
10/31/2023 11:11:49,She/Her,Yes,2,0
10/31/2023 11:16:34,He/Him,No,,3.6
10/31/2023 11:18:49,She/Her,No,1,3
10/31/2023 11:19:39,She/Her,No,,3.6
10/31/2023 11:19:55,He/Him,Yes,3,4
10/31/2023 11:22:23,They/Them,No,,2.7
10/31/2023 11:22:41,She/Her,No,,3.4
10/31/2023 11:22:47,He/Him,Yes,2.5,3.3
10/31/2023 11:43:59,She/Her,No,,3.8
10/31/2023 11:47:16,She/Her,No,,3.75
10/31/2023 12:25:43,She/Her,Yes,2,3
10/31/2023 12:25:45,He/Him,No,,2
10/31/2023 12:26:06,He/Him,No,,3.2
10/31/2023 12:26:55,She/Her,Yes,4,4.2
10/31/2023 12:27:38,She/Her,No,1,75
10/31/2023 13:25:31,She/Her,No,,4.7
10/31/2023 13:36:15,Other,Yes,2,2
10/31/2023 15:20:45,She/Her,No,,3.85
10/31/2023 15:42:47,He/Him,Yes,3,3.5
10/31/2023 20:44:26,She/Her,Yes,2,3.4
10/31/2023 21:40:55,She/Her,Yes,3,3
10/31/2023 22:18:24,She/Her,Yes,2,3.7