Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/29,Tuesday,INSTAGRAM,60,Social Media
8/29,Tuesday,ZOOM,50,Social Media
8/29,Tuesday,YOUTUBE,36,Entertainment
8/29,Tuesday,CALCULATOR,17,Education
8/29,Tuesday,SPOTIFY,15,Entertainment
8/29,Tuesday,MESSAGES,13,Other
8/30,Wednesday,CALCULATOR,44,Education
8/30,Wednesday,INSTAGRAM,20,Social Media
8/30,Wednesday,YOUTUBE,11,Entertainment
8/30,Wednesday,SPOTIFY,10,Entertainment
8/30,Wednesday,MESSAGES,7,Other
8/30,Wednesday,SAFARI,5,Education
8/30,Wednesday,CAMERA,4,Other
8/31,Thursday,MAPS,52,Travel
8/31,Thursday,SPOTIFY,30,Entertainment
8/31,Thursday,INSTAGRAM,25,Social Media
8/31,Thursday,MESSAGES,18,Other
8/31,Thursday,CALCULATOR,6,Education
8/31,Thursday,SETTINGS,6,Other
9/1,Friday,INSTAGRAM,34,Social Media
9/1,Friday,SPOTIFY,24,Entertainment
9/1,Friday,PVZ,19,Entertainment
9/1,Friday,MESSAGES,10,Other
9/1,Friday,MAPS,8,Travel
9/1,Friday,YOUTUBE,7,Entertainment
9/2,Saturday,PVZ,26,Entertainment
9/2,Saturday,SPOTIFY,15,Entertainment
9/2,Saturday,INSTAGRAM,15,Social Media
9/2,Saturday,MESSAGES,7,Other
9/3,Sunday,PVZ,61,Entertainment
9/3,Sunday,INSTAGRAM,25,Social Media
9/3,Sunday,SPOTIFY,18,Entertainment
9/3,Sunday,HEADS UP,13,Entertainment
9/3,Sunday,MESSAGES,3,Other
9/4,Monday,MESSAGES,31,Other
9/4,Monday,INSTAGRAM,25,Social Media
9/4,Monday,SPOTIFY,18,Entertainment
9/4,Monday,SETTINGS,7,Other
9/4,Monday,PHOTOS,5,Other
9/5,Tuesday,YOUTUBE ,23,Entertainment
9/5,Tuesday,SETTINGS,20,Other
9/5,Tuesday,SPOTIFY,6,Entertainment
9/5,Tuesday,MESSAGES,3,Other